day	total_0_100	num_0_100	total_100_1000	num_100_1000	total_1000_10000	num_1000_10000	total_10000_100000	num_10000_100000	total_1000000_10000000	num_1000000_10000000
2013-01-01	50610.45	1400	45382.35	154	3250.00	2	0.00	0	0.00	0
2013-01-02	13102.93	658	10912.67	30	7885.08	3	20000.00	1	0.00	0
2013-01-03	26535.10	894	35052.66	85	58300.00	13	35000.00	2	0.00	0
2013-01-04	16106.70	647	17837.81	50	51294.00	12	15000.00	1	0.00	0
2013-01-05	9161.34	579	2518.47	14	0.00	0	0.00	0	0.00	0
2013-01-06	6129.68	372	3387.47	20	1528.00	1	0.00	0	0.00	0
2013-01-07	9856.52	549	3459.79	13	31666.20	8	70066.27	1	0.00	0
2013-01-08	15265.37	668	12717.12	31	35517.76	10	45000.00	2	0.00	0
2013-01-09	13263.37	570	10722.06	28	15527.40	5	0.00	0	0.00	0
2013-01-10	6609.17	483	7621.93	19	6348.00	3	0.00	0	0.00	0
2013-01-11	10999.42	669	7653.47	20	21500.00	5	0.00	0	0.00	0
2013-01-12	4860.48	410	1914.20	9	5000.00	1	0.00	0	0.00	0
2013-01-13	4507.87	440	1925.44	9	0.00	0	0.00	0	0.00	0
2013-01-14	11466.86	1042	8442.75	30	7500.00	2	25000.00	1	0.00	0
2013-01-15	13558.50	865	4577.54	18	12416.00	3	0.00	0	0.00	0
2013-01-16	7152.06	634	6338.50	21	6075.00	2	0.00	0	0.00	0
2013-01-17	13544.74	1125	9110.41	35	8230.00	3	0.00	0	0.00	0
2013-01-18	5627.08	351	4638.21	12	0.00	0	0.00	0	0.00	0
2013-01-19	4599.55	371	1057.34	5	0.00	0	0.00	0	0.00	0
2013-01-20	4101.10	437	2259.33	10	0.00	0	0.00	0	0.00	0
2013-01-21	3775.62	403	962.88	7	0.00	0	0.00	0	0.00	0
2013-01-22	5015.98	462	2328.46	7	0.00	0	0.00	0	0.00	0
2013-01-23	3695.98	345	1380.01	7	0.00	0	0.00	0	0.00	0
2013-01-24	3306.48	310	4914.44	11	5000.00	1	0.00	0	0.00	0
2013-01-25	2997.23	472	1533.31	6	0.00	0	24330.69	1	0.00	0
2013-01-26	4123.87	394	861.55	5	0.00	0	0.00	0	0.00	0
2013-01-27	4375.01	438	2970.19	8	0.00	0	0.00	0	0.00	0
2013-01-28	11761.41	664	15604.30	44	6998.72	2	0.00	0	0.00	0
2013-01-29	7892.85	608	5036.53	9	5000.00	1	0.00	0	0.00	0
2013-01-30	4646.62	467	984.56	4	1050.00	1	0.00	0	0.00	0
2013-01-31	9379.55	472	13377.21	43	2000.00	1	0.00	0	0.00	0
2013-02-01	6497.05	604	2528.20	10	10000.00	1	0.00	0	0.00	0
2013-02-02	5327.66	422	3477.35	12	0.00	0	0.00	0	0.00	0
2013-02-03	4709.07	265	1369.27	8	0.00	0	0.00	0	0.00	0
2013-02-04	4089.98	262	1994.59	7	10000.00	1	0.00	0	0.00	0
2013-02-05	4791.64	649	3247.32	11	0.00	0	0.00	0	0.00	0
2013-02-06	46201.71	3523	12104.72	50	3125.00	1	0.00	0	0.00	0
2013-02-07	124772.12	9343	26829.15	124	11500.00	2	15000.00	1	0.00	0
2013-02-08	95737.46	7099	12189.82	81	5000.00	1	0.00	0	0.00	0
2013-02-09	83604.98	5805	8678.95	63	21339.20	3	0.00	0	0.00	0
2013-02-10	80511.71	5689	9674.48	66	0.00	0	0.00	0	0.00	0
2013-02-11	82619.91	5903	15991.30	82	0.00	0	0.00	0	0.00	0
2013-02-12	80458.57	5596	14873.19	74	0.00	0	0.00	0	0.00	0
2013-02-13	66990.29	4926	8889.84	40	1341.60	1	0.00	0	0.00	0
2013-02-14	64775.06	4773	9130.56	51	1500.00	1	0.00	0	0.00	0
2013-02-15	58826.44	4563	5848.78	39	0.00	0	0.00	0	0.00	0
2013-02-16	66844.41	5206	8423.84	43	0.00	0	0.00	0	0.00	0
2013-02-17	64285.97	5049	7154.59	41	2641.00	2	0.00	0	0.00	0
2013-02-18	59612.89	4693	4439.76	30	1031.20	1	0.00	0	0.00	0
2013-02-19	60658.06	5086	8427.71	55	3564.30	2	0.00	0	0.00	0
2013-02-20	55265.31	4477	4942.61	30	0.00	0	0.00	0	0.00	0
2013-02-21	53221.66	4233	4595.56	27	2000.00	1	0.00	0	0.00	0
2013-02-22	49259.51	3818	7938.85	37	0.00	0	50000.00	1	0.00	0
2013-02-23	46131.13	3438	5916.91	42	0.00	0	0.00	0	0.00	0
2013-02-24	49706.86	3564	7169.82	46	1628.26	1	0.00	0	0.00	0
2013-02-25	41230.40	3219	6282.30	38	0.00	0	0.00	0	0.00	0
2013-02-26	12440.76	945	2216.04	9	0.00	0	0.00	0	0.00	0
2013-02-27	113229.89	8548	14662.43	70	0.00	0	0.00	0	0.00	0
2013-02-28	279303.32	22640	29305.36	172	5113.72	1	0.00	0	0.00	0
2013-03-01	216525.26	16978	17792.19	126	2630.55	2	0.00	0	0.00	0
2013-03-02	196912.97	14328	18827.11	131	0.00	0	0.00	0	0.00	0
2013-03-03	184664.83	13201	19765.34	127	2403.80	2	0.00	0	0.00	0
2013-03-04	161817.80	12643	14988.47	92	0.00	0	0.00	0	0.00	0
2013-03-05	137917.41	10542	15172.30	99	0.00	0	0.00	0	0.00	0
2013-03-06	123277.63	9489	15970.63	104	4952.00	3	0.00	0	0.00	0
2013-03-07	108788.60	8634	9496.61	65	3745.35	2	0.00	0	0.00	0
2013-03-08	108383.29	8177	9667.60	64	2605.60	2	0.00	0	0.00	0
2013-03-09	103430.98	7543	11252.31	70	1054.44	1	0.00	0	0.00	0
2013-03-10	145912.73	10014	26690.53	190	1623.00	1	0.00	0	0.00	0
2013-03-11	128001.05	9656	17834.70	134	1070.51	1	0.00	0	0.00	0
2013-03-12	137226.14	10363	20989.92	125	7786.70	3	0.00	0	0.00	0
2013-03-13	132614.82	9817	18472.59	121	0.00	0	0.00	0	0.00	0
2013-03-14	202948.38	17062	19605.70	125	16111.40	3	0.00	0	0.00	0
2013-03-15	182564.39	12391	24194.97	163	3997.40	2	0.00	0	0.00	0
2013-03-16	150674.80	9959	24386.51	158	2123.20	2	0.00	0	0.00	0
2013-03-17	140927.64	9178	18555.78	129	3131.40	2	0.00	0	0.00	0
2013-03-18	119152.20	8150	15806.34	115	1106.00	1	0.00	0	0.00	0
2013-03-19	94218.36	6611	15309.24	88	0.00	0	0.00	0	0.00	0
2013-03-20	84872.39	6182	11413.92	67	2576.00	1	0.00	0	0.00	0
2013-03-21	145977.76	9368	26529.82	135	3500.00	2	0.00	0	0.00	0
2013-03-22	446129.05	39308	41927.19	291	17112.86	6	0.00	0	0.00	0
2013-03-23	328638.99	27234	29966.14	206	1301.25	1	0.00	0	0.00	0
2013-03-24	300579.27	24150	30583.15	196	6482.00	1	0.00	0	0.00	0
