date,2006,2007,2008,2009,2010,2011,2012,2013
2006/01/01 23:59:59,27471.27,16215.59,25306.83,165309.54,151435.04,272300.63,567471.43,99242.8
2006/01/02 23:59:59,42945.28,11516.8,19395.98,128004.77,109532.6,54376.02,71450.4,551900.68
2006/01/03 23:59:59,31606.37,12758.94,16432.52,36961.06,117319.52,156841.81,92073.84,154887.76
2006/01/04 23:59:59,27965.9,11660.4,11730.99,28013.44,150379.48,47047.23,54429.29,100238.51
2006/01/05 23:59:59,33567.35,9246.83,4072.13,25322.57,53903.41,33890.88,68935.85,11679.81
2006/01/06 23:59:59,11914.77,6710.8,3205.2,27476.45,54957.56,29809.02,21031.13,11045.15
2006/01/07 23:59:59,7852.23,8603.76,4456.7,20630.87,17754.78,24236.8,12589.73,115048.78
2006/01/08 23:59:59,7456.8,8349.54,3150.9,19204.36,15177.19,10719.29,10766.51,108500.25
2006/01/09 23:59:59,6654.78,8288.64,3267.91,14980.66,6550.71,9615.55,11998.15,39512.83
2006/01/10 23:59:59,5616.48,7309.86,1390.36,2853.86,4925.74,38821.3,13193.65,20579.1
2006/01/11 23:59:59,3615.83,6366.67,1446.92,2084.12,15039.89,10188.63,80626.26,40152.89
2006/01/12 23:59:59,3847.71,7869.93,1799.14,34815.53,13274.84,8816.35,81171.38,11774.68
2006/01/13 23:59:59,3895.67,7203.14,1094.8,2533.84,21213.56,10186.42,32388.38,6433.31
2006/01/14 23:59:59,3370.72,6126.15,1177.82,2490.8,18660.96,7450.05,37009.78,52409.61
2006/01/15 23:59:59,3883.55,7374.6,1152.42,2839.84,19288.8,11859.93,8171.42,30552.04
2006/01/16 23:59:59,4285.72,7026.04,1432.18,3389.97,3961.88,11695.82,12575.25,19565.56
2006/01/17 23:59:59,3859.8,5052.84,852.54,1961.76,3869.85,17287.33,99122.48,30885.15
2006/01/18 23:59:59,2675.98,4690.6,1888.5,1628.0,6748.88,30586.19,78094.28,10265.29
2006/01/19 23:59:59,3848.42,5424.96,852.15,2063.0,7810.66,7171.46,55690.74,5656.89
2006/01/20 23:59:59,3536.08,2752.86,1090.68,3886.95,4685.04,7210.74,26270.51,6360.43
2006/01/21 23:59:59,3813.9,2421.78,879.66,1805.2,2558.46,4054.99,15389.32,4738.5
2006/01/22 23:59:59,4852.53,2316.47,3366.29,1674.28,4101.03,3324.07,12012.95,7344.44
2006/01/23 23:59:59,4236.96,2133.41,611.66,4618.99,2521.65,3503.53,7419.72,5075.99
2006/01/24 23:59:59,4701.2,1717.58,1477.59,605.66,2092.81,7925.42,14427.34,13220.92
2006/01/25 23:59:59,3312.61,1001.2,532.49,1187.16,7863.22,43017.72,12168.64,28861.23
2006/01/26 23:59:59,3263.57,17195.73,720.95,11156.47,10172.26,7800.99,28084.4,4985.42
2006/01/27 23:59:59,2883.54,1609.53,1007.25,17629.7,20961.6,3373.2,5564.31,7345.2
2006/01/28 23:59:59,3509.55,1073.9,817.24,1646.22,1834.44,3182.63,6916.23,34364.43
2006/01/29 23:59:59,4244.73,2210.8,849.11,1343.58,3578.41,3891.16,5893.26,17929.38
2006/01/30 23:59:59,4251.59,1952.97,725.39,24590.22,2717.46,3733.0,7563.3,506681.18
2006/01/31 23:59:59,3314.12,1469.61,908.11,1011.43,2530.86,9292.87,35652.48,24756.76
2006/02/01 23:59:59,940.94,2249.41,902.35,1512.06,531756.85,9017.35,30228.68,19025.25
2006/02/02 23:59:59,668.59,1635.39,934.01,3108.46,2324.2,4038.17,10876.68,8805.01
2006/02/03 23:59:59,670.5,1088.41,916.02,789.03,14129.78,3254.56,5007.44,6078.34
2006/02/04 23:59:59,746.06,998.03,681.33,1461.84,2984.74,10810.7,6695.16,16084.57
2006/02/05 23:59:59,777.32,943.07,779.3,1623.63,2256.55,2265.17,6252.42,8038.96
2006/02/06 23:59:59,701.71,1518.58,638.65,1001051.71,2028.78,2750.85,8517.57,61431.43
2006/02/07 23:59:59,776.33,1630.72,741.27,1633.27,2938.36,2961.72,7238.02,178101.27
2006/02/08 23:59:59,2331.57,840.84,514.61,806.64,8259.49,5462.54,4875.09,112927.28
